LicensePlate,Categories,DateEnacted,SpecialFee,DistributionOfSpecialFee,StatutoryAuthority,AdditionalRequirements,Notes,Url,Image,ImageUrl,ImageFile
Barry University,Universities,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Barry University is a private, Catholic institution with a history of academic excellence in the Dominican tradition. Founded in 1940 in Miami, Florida, the University enrolls 2,747 full-time undergraduate students and 3,748 graduate students. Grounded in the liberal arts tradition, Barry University is a scholarly community committed to the highest academic standards in undergraduate, graduate and professional education. In the Catholic intellectual tradition, integration of study, reflection and action inform the intellectual life.",https://buyfloridaspecialtyplates.com/specialty-license-plates/Barry-University-Florida-Specialty-License-Plate-p238165577,barry_university,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4608319082.png,images/barry_university.png
Beacon College,Universities,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Annual use fees go to Beacon College, for academic enhancement. These funds help Beacon College grow, expand and enhance the student experience. Are you a Beacon College alumni? Support your school and switch to this Specialty License Plate today!",https://buyfloridaspecialtyplates.com/specialty-license-plates/Beacon-College-Florida-Specialty-License-Plate-p542698848,beacon_college,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4608276964.png,images/beacon_college.png
Best Buddies Tom Brady,,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Best Buddies is the world’s largest organization dedicated to ending the social, physical and economic isolation of the 200 million people with intellectual and developmental disabilities (IDD). Our programs empower the special abilities of people with IDD by helping them form meaningful friendships with their peers, secure successful jobs, live independently, improve public speaking, self-advocacy and communication skills, and feel valued by society.",https://buyfloridaspecialtyplates.com/specialty-license-plates/Best-Buddies-Tom-Brady-Florida-Specialty-License-Plate-p590307767,best_buddies_tom_brady,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4303967508.png,images/best_buddies_tom_brady.png
Bethune Cookman University,Universities,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. On October 3, 1904, a very determined young black woman, Mary McLeod Bethune, opened the Daytona Literary and Industrial Training School for African American Girls with $1.50, faith in God and five little girls: Lena, Lucille, and Ruth Warren, Anna Geiger and Celest Jackson. Through Dr. Bethune’s lifetime, the school underwent several stages of growth and development and on May 24, 1919, the Daytona Educational and Industrial Institute was changed to Daytona Normal and Industrial Institute. In 1923 the school merged with Cookman Institute of Jacksonville, Florida (founded in 1872) and became co-ed while it also gained the prestigious United Methodist Church affiliation. Although the merger of Bethune’s school and Cookman Institute began in 1923, it was not finalized until 1925 when both schools collaborated to become the Daytona-Cookman Collegiate Institute. In 1931, the College became accredited by the Association of Colleges and Secondary Schools of the Southern States, as a Junior College with class B status, and on April 27, 1931, the school’s name was officially changed to Bethune-Cookman College to reflect the leadership of Dr. Mary McLeod Bethune.",https://buyfloridaspecialtyplates.com/specialty-license-plates/Bethune-Cookman-University-Florida-Specialty-License-Plate-p238180257,bethune_cookman_university,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4608276994.png,images/bethune_cookman_university.png
Big Brothers Big Sisters,,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. There are thousands of children across Florida in need of a mentor. But being a volunteer mentor and role model is only one of the ways to support Big Brothers Big Sisters. You can also purchase one of their license plates. Big Brothers Big Sisters Association of Florida helps to build the capacity of one-to-one mentoring programs that are evidence based, with proven results. They offer young people positive and life-affirming choices. The Big Brothers Big Sisters specialty license plate was enacted by the Florida Legislature in 2013. This is the first redesign of the plate.",https://buyfloridaspecialtyplates.com/specialty-license-plates/Big-Brothers-Big-Sisters-Florida-Specialty-License-Plate-p258883099,big_brothers_big_sisters,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4608290426.png,images/big_brothers_big_sisters.png
Blue Angels,Military,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Funds raised through the sale of this new specialty license plate will help the Naval Aviation Museum Foundation a 501(c)(3) non-profit. The Naval Aviation Museum Foundation provides resources to support the National Naval Aviation Museum’s operations, expansion and activities. The Foundation works diligently to raise funding through gifts and memberships. They are dedicated to sustaining Museum activity and advancing STEM education for students through immersive learning programs including the National Flight Academy, a cutting edge, aviation-themed learning adventure.",https://buyfloridaspecialtyplates.com/specialty-license-plates/Blue-Angels-Florida-Specialty-License-Plate-p541908525,blue_angels,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4608319097.png,images/blue_angels.png
Bonefish and Tarpon Trust,Environmental,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Bonefish & Tarpon Trust’s Florida license plate is now available for purchase. Featuring the art of Derek DeYoung, these tarpon license plates are the perfect way to show your commitment to fisheries conservation anywhere the road takes you. Revenues from each plate sold goes to BTT to support our mission to conserve bonefish, tarpon, and permit – the species, their habitats, and the fisheries they support.",https://buyfloridaspecialtyplates.com/specialty-license-plates/Bonefish-and-Tarpon-Trust-Florida-Specialty-License-Plate-p590307765,bonefish_and_tarpon_trust,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4608319112.png,images/bonefish_and_tarpon_trust.png
Challenger Columbia,,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Funds received by the Astronauts Memorial Foundation, Inc . , may be used for administrative costs directly associated with the operation of the center and the institute. These funds must be used for the maintenance and support of the operations of the Center for Space Education and the Education Technology Institute operated by the Astronauts Memorial Foundation, Inc. These operations must include pre-service and in-service training in the use of technology for the state’s instructional personnel in a manner consistent with state training programs and approved by the Department of Education. Up to 20% of funds received may be expended for administrative costs directly associated with the operation of the center and the institute.",https://buyfloridaspecialtyplates.com/specialty-license-plates/Challenger-Columbia-Florida-Specialty-License-Plate-p258878720,challenger_columbia,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4915351339.png,images/challenger_columbia.png
Choose Life,,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Revenue generated from sales of the Choose Life specialty plate goes to counseling and meeting the physical needs of pregnant women who are committed to placing their children for adoption. Revenue is distributed annually to Choose Life, Inc., along with a report that specifies the ratio that the annual use fees collected by each county bear to the total fees collected for the plates within the state. Choose Life, Inc. distributes each county's share of the funds to nongovernmental, not-for-profit agencies within each Florida county which assist pregnant women who are making an adoption plan for their children. Funds may not be distributed to any agency that is involved or associated with abortion activities, including counseling for or referrals to abortion clinics, providing medical abortion-related procedures, or pro-abortion advertising, and funds may not be distributed to any agency that charges women for services received.",https://buyfloridaspecialtyplates.com/specialty-license-plates/Choose-Life-Florida-Specialty-License-Plate-p258877893,choose_life,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4608341658.png,images/choose_life.png
Conserve Florida Fisheries,Environmental,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Funds from the sale of this license plate support protecting and enhancing saltwater marine resources, expanding habitat restoration efforts, developing saltwater fisheries conservation and enriching coastal environmental education.",https://buyfloridaspecialtyplates.com/specialty-license-plates/Conserve-Florida-Fisheries-Specialty-License-Plate-p541930529,conserve_florida_fisheries,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4608319225.png,images/conserve_florida_fisheries.png
Conserve Wildlife,Environmental,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Supports health and well-being of Florida black bears and other wildlife diversity. Proceeds go to the Wildlife Foundation of Florida, Inc., a citizen support organization created pursuant to s 379.322",https://buyfloridaspecialtyplates.com/specialty-license-plates/Conserve-Wildlife-Florida-Specialty-License-Plate-p240474515,conserve_wildlife,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4608341749.png,images/conserve_wildlife.png
Delta Sigma Theta Sorority Divine Nine,,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. The revenue collected annually from the sale of Divine Nine specialty license plates will be distributed to the United Negro College Fund, Inc., for college scholarships for Florida residents attending Florida’s historically black colleges and universities; the Association to Preserve African American Society, History and Tradition, Inc.; and to the individual organizations outlined in section 320.08058(101)(b), F.S. to promote community awareness and action through educational, economic, and cultural service activities within the state.",https://buyfloridaspecialtyplates.com/specialty-license-plates/Delta-Sigma-Theta-Sorority-Divine-Nine-Florida-Specialty-License-Plate-p541930539,delta_sigma_theta_sorority_divine_nine,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4608396769.png,images/delta_sigma_theta_sorority_divine_nine.png
Discover Florida Horses,,,25.00,,320.08058 Special Fee,,NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE.,https://buyfloridaspecialtyplates.com/specialty-license-plates/Discover-Florida-Horses-Specialty-License-Plate-p240467684,discover_florida_horses,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4608396839.png,images/discover_florida_horses.png
Discover Florida Oceans,,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Revenue goes to Ocean, estuarine, or coastal scientific research, conservation, and education projects. Funds from the specialty license plate are distributed to the Hubbs Florida Ocean Fund, Inc., Twenty percent of the funds goes to the Wildlife Foundation of Florida, Inc., to be used for ocean, estuarine, or coastal scientific research, conservation, and education projects.",https://buyfloridaspecialtyplates.com/specialty-license-plates/Discover-Florida-Oceans-Specialty-License-Plate-p240474541,discover_florida_oceans,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4915428151.jpg,images/discover_florida_oceans.jpg
Don't Tread On Me Gadsden Flag,,,25.00,,320.08058 Special Fee,,NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. This new license plate features the slogan “Don’t Tread On Me” accompanied by a black coiled rattlesnake over a yellow background. Funds from the plate will benefit the Florida Veterans Foundation.,https://buyfloridaspecialtyplates.com/specialty-license-plates/Dont-Tread-On-Me-Gadsden-Flag-Florida-License-Plate-p523156336,don_t_tread_on_me_gadsden_flag,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4758633179.jpg,images/don_t_tread_on_me_gadsden_flag.jpg
Ducks Unlimited,Environmental,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Official Ducks Unlimited Specialty Florida License Plate is now available for purchase. Featuring beautiful artwork, these license plates are the perfect way to show your commitment to bird conservation anywhere the road takes you.",https://buyfloridaspecialtyplates.com/specialty-license-plates/Ducks-Unlimited-Florida-Specialty-License-Plate-p590019894,ducks_unlimited,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4732197590.jpg,images/ducks_unlimited.jpg
Eckerd College,Universities,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Annual use fees go to Eckerd College, for academic enhancement. These funds help Eckerd College grow, expand and enhance the student experience. Are you a Eckerd College alumni? Support your school and switch to this Specialty License Plate today!",https://buyfloridaspecialtyplates.com/specialty-license-plates/Eckerd-College-Florida-Specialty-License-Plate-p258890917,eckerd_college,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4913077204.jpg,images/eckerd_college.jpg
Edward Waters College,Universities,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Annual use fees go to Edward Waters College, for academic enhancement. These funds help Edward Waters College grow, expand and enhance the student experience. Are you a Edward Waters College alumni? Support your school and switch to this Specialty License Plate today!",https://buyfloridaspecialtyplates.com/specialty-license-plates/Edward-Waters-College-Florida-Specialty-License-Plate-p258897252,edward_waters_college,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4913077229.jpg,images/edward_waters_college.jpg
Embry Riddle Aeronautical University,,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Annual use fees go to Embry Riddle Aeronautical University, for academic enhancement. These funds help Embry Riddle Aeronautical University grow, expand and enhance the student experience. Are you a Embry Riddle Aeronautical University alumni? Support your school and switch to this Specialty License Plate today!",https://buyfloridaspecialtyplates.com/specialty-license-plates/Embry-Riddle-Aeronautical-University-Specialty-License-Plate-p265713811,embry_riddle_aeronautical_university,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4915411007.jpg,images/embry_riddle_aeronautical_university.jpg
End Breast Cancer,,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. The Florida Breast Cancer Foundation (FBCF) was founded by 3 Miami women in 1993. Originally named The South Florida Breast Cancer Coalition, the organization began as a nonprofit, grassroots organization dedicated to ending breast cancer through advocacy, education, and research. With the introduction of the specialty End Breast Cancer license plate in 2002, a second organization was formed the Florida Breast Cancer Coalition Research Foundation - created to receive the funds from the sale of the plate. A few years later our official name changed to the Florida Breast Cancer Foundation, but our mission and vision remains the same.",https://buyfloridaspecialtyplates.com/specialty-license-plates/End-Breast-Cancer-Florida-Specialty-License-Plate-p265882043,end_breast_cancer,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4915414057.jpg,images/end_breast_cancer.jpg
Endless Summer,,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Funds are used for programs which include educating the general public regarding the history of surfing as a sport and as a recreational activity; providing support for lifeguards at high risk beaches to aid in the protection of the public who utilize such beaches; providing support for environmentally friendly activities; providing educational programs, including publication of articles and hosting and supporting forums and events; and for developing and supporting activities designed to assist in preserving and protecting the shoreline and the delicate ecosystems residing therein.",https://buyfloridaspecialtyplates.com/specialty-license-plates/Endless-Summer-Florida-Specialty-License-Plate-p238268649,endless_summer,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/1674791160.jpg,images/endless_summer.jpg
Everglades River of Grass,Environmental,,25.00,,320.08058 Special Fee,,NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE.,https://buyfloridaspecialtyplates.com/specialty-license-plates/Everglades-River-of-Grass-Florida-Specialty-License-Plate-p240474612,everglades_river_of_grass,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4915420802.jpg,images/everglades_river_of_grass.jpg
Everglades University,Universities,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Annual use fees go to Everglades University, for academic enhancement. These funds help Everglades University grow, expand and enhance the student experience. Are you a Everglades University alumni? Support your school and switch to this Specialty License Plate today!",https://buyfloridaspecialtyplates.com/specialty-license-plates/Everglades-University-Florida-Specialty-License-Plate-p542702114,everglades_university,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/3533637336.jpg,images/everglades_university.jpg
Explore Off Road,,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Annual use fees from sales of the plate will be distributed to qualified nonprofit organizations that protect and preserve Florida's natural off-road habitat; educate Floridians about responsible use of the off-road environment; support civilian volunteer programs that promote the use of off-road vehicles to assist law enforcement in situations such as search and rescue; support organized cleanups, trail maintenance, and restoration; or preserve Florida's off-road culture.",https://buyfloridaspecialtyplates.com/specialty-license-plates/Explore-Off-Road-Florida-Specialty-License-Plate-p541927032,explore_off_road,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/3528183219.jpg,images/explore_off_road.jpg
FIU,,,25.00,,320.08058 Special Fee,,NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Revenue goes to FIU for academic enhancement including scholarships.,https://buyfloridaspecialtyplates.com/specialty-license-plates/FIU-Florida-Specialty-License-Plate-p238208655,fiu,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/1674371114.jpg,images/fiu.jpg
FSU,,,25.00,,320.08058 Special Fee,,NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Revenue goes to FSU for academic enhancement including scholarships.,https://buyfloridaspecialtyplates.com/specialty-license-plates/FSU-Florida-Specialty-License-Plate-p238208656,fsu,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/1674361938.jpg,images/fsu.jpg
Fallen Law Enforcement Officers,,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. The annual use fees are distributed to the Police and Kids Foundation, Inc., which may use a maximum of 10 percent of the proceeds to promote and market the plate. The remainder of the proceeds will be used by the Police and Kids Foundation, Inc., to invest and reinvest, and the interest earnings will be used for the operation of the Police and Kids Foundation, Inc.",https://buyfloridaspecialtyplates.com/specialty-license-plates/Fallen-Law-Enforcement-Officers-Florida-Specialty-License-Plate-p265847369,fallen_law_enforcement_officers,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/1819627244.jpg,images/fallen_law_enforcement_officers.jpg
Family First,,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Revenue goes to Family First to fund programs, projects, seminars, events, and family resources that promote principles for building marriages, guiding parents, and raising children.",https://buyfloridaspecialtyplates.com/specialty-license-plates/Family-First-Florida-Specialty-License-Plate-p258883124,family_first,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/1784896397.jpg,images/family_first.jpg
Family Values,,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Revenue goes to Sheridan House, Inc., to be used in the following manner: Up to 5% of the funds for administrative costs directly associated with the operations of Sheridan House, Inc., and up to 20% for promotion and marketing of the license plate. All remaining funds shall be expended by Sheridan House, Inc., to fund residential care programs, family counseling, social services for single parents and their children, resource materials, and facility construction.",https://buyfloridaspecialtyplates.com/specialty-license-plates/Family-Values-Florida-Specialty-License-Plate-p265860197,family_values,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4665607737.jpg,images/family_values.jpg
Fish,Environmental,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. The mission of the Foundation shall be to promote public awareness of and encourage the protection of marine fisheries and coastal habitats.This will be accomplished through displays, classes, seminars, presentations, clinics and other means designed to teach and promote responsible angling, particularly to Florida’s youth.",https://buyfloridaspecialtyplates.com/specialty-license-plates/Fish-Florida-Specialty-License-Plate-p240495171,fish,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/1686281543.jpg,images/fish.jpg
Flagler College,Universities,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Annual use fees go to Flagler College, for academic enhancement. These funds help Flagler College grow, expand and enhance the student experience. Are you a Flagler College alumni? Support your school and switch to this Specialty License Plate today!",https://buyfloridaspecialtyplates.com/specialty-license-plates/Flagler-College-Florida-Specialty-License-Plate-p258902041,flagler_college,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/3883448902.jpg,images/flagler_college.jpg
Florida A&M University,Universities,,25.00,,320.08058 Special Fee,,"NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Annual use fees go to Florida Agricultural & Mechanical University, Tallahassee, for Academic Advancement.",https://buyfloridaspecialtyplates.com/specialty-license-plates/Florida-A&M-University-Florida-Specialty-License-Plate-p238210485,florida_a_m_university,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/1674357387.jpg,images/florida_a_m_university.jpg
Florida Atlantic University FAU,,,25.00,,320.08058 Special Fee,,NOTE: ALL FLORIDA RESIDENTS OF ALL FLORIDA COUNTIES CAN ORDER THIS PLATE. Revenue goes to Florida Atlantic University for academic enhancement including scholarships.,https://buyfloridaspecialtyplates.com/specialty-license-plates/Florida-Atlantic-University-Florida-Specialty-License-Plate-p238210491,florida_atlantic_university_fau,https://d2j6dbq0eux0bg.cloudfront.net/images/37174325/4861660516.png,images/florida_atlantic_university_fau.png
